Ref,Val,Package,PosX,PosY,Rot,Side
"3V1","Green","LED_0805_2012Metric",109.797500,-101.031250,0.000000,top
"C1","0.33μF","C_0402_1005Metric",99.597500,-94.885000,-90.000000,top
"C2","0.1μF","C_0402_1005Metric",91.377500,-94.825000,-90.000000,top
"C6","100nF","C_0402_1005Metric",89.640000,-76.150000,0.000000,top
"C7","4.7μF","C_0402_1005Metric",89.640000,-75.140000,180.000000,top
"D1","1N4148WX-TP","D_SOD-323",95.180000,-41.320000,-90.000000,top
"D2","1N4148WX-TP","D_SOD-323",95.000000,-46.740000,-90.000000,top
"D3","1N4148WX-TP","D_SOD-323",94.940000,-57.100000,-90.000000,top
"D4","1N4148WX-TP","D_SOD-323",94.920000,-51.460000,90.000000,top
"D5","1N4148WX-TP","D_SOD-323",94.700000,-66.460000,90.000000,top
"D6","1N4148WX-TP","D_SOD-323",94.700000,-71.060000,-90.000000,top
"D7","SD15_SOD323","D_SOD-323",83.070000,-73.670000,-90.000000,top
"D8","AZ23C10","SOT-23",128.990000,-54.440000,0.000000,top
"D10","1N4148WX-TP","D_SOD-323",94.730000,-81.000000,-90.000000,top
"D11","1N4148WX-TP","D_SOD-323",94.730000,-76.797500,90.000000,top
"D13","BSPD","LED_0805_2012Metric",124.410000,-47.160000,90.000000,top
"D14","IMD","LED_0805_2012Metric",124.390000,-61.632500,90.000000,top
"D15","BMS","LED_0805_2012Metric",124.430000,-74.132500,90.000000,top
"D16","Precharge","LED_0805_2012Metric",124.210000,-88.610000,90.000000,top
"D17","BZT52B-7-F","D_SOD-323",101.630000,-97.770000,0.000000,top
"F1","0.25 A","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",80.920000,-73.910000,-90.000000,top
"GLV1","Green","LED_0805_2012Metric",114.580000,-101.070000,0.000000,top
"Q1","AO3400A","SOT-23",127.500000,-47.192500,180.000000,top
"Q2","AO3400A","SOT-23",91.552500,-71.530000,-90.000000,top
"Q3","AO3407A","SOT-23",91.940000,-47.570000,0.000000,top
"Q4","AO3400A","SOT-23",91.950000,-43.110000,90.000000,top
"Q5","AO3400A","SOT-23",81.452500,-79.615000,-90.000000,top
"Q6","AO3401A","SOT-23",102.290000,-94.392500,180.000000,top
"Q8","AO3400A","SOT-23",84.712500,-82.460000,180.000000,top
"Q9","AO3400A","SOT-23",127.540000,-61.672500,180.000000,top
"Q10","AO3400A","SOT-23",127.580000,-74.152500,180.000000,top
"Q11","AO3400A","SOT-23",127.312500,-88.620000,180.000000,top
"Q12","AO3407A","SOT-23",80.937500,-83.820000,90.000000,top
"R1","13k","R_0603_1608Metric",102.250000,-99.750000,180.000000,top
"R2","100k","R_0603_1608Metric",84.770000,-78.100000,180.000000,top
"R3","100","R_0603_1608Metric",84.920000,-74.680000,90.000000,top
"R4","10k","R_0603_1608Metric",87.205000,-75.410000,0.000000,top
"R5","12k","R_0603_1608Metric",124.610000,-50.740000,-90.000000,top
"R6","10k","R_0603_1608Metric",122.340000,-47.140000,-90.000000,top
"R7","100k","R_0603_1608Metric",127.650000,-77.020000,180.000000,top
"R8","12k","R_0603_1608Metric",126.390000,-50.750000,90.000000,top
"R9","47","R_0603_1608Metric",127.660000,-78.650000,0.000000,top
"R10","10k","R_0603_1608Metric",122.420000,-61.880000,-90.000000,top
"R11","10k","R_0603_1608Metric",122.470000,-74.325000,-90.000000,top
"R12","10k","R_0603_1608Metric",122.230000,-88.720000,-90.000000,top
"R13","47","R_0603_1608Metric",124.310000,-85.100000,90.000000,top
"R14","10k","R_0603_1608Metric",87.255000,-73.810000,0.000000,top
"R15","47","R_0603_1608Metric",84.760000,-79.720000,180.000000,top
"R16","100k","R_0603_1608Metric",126.030000,-85.100000,-90.000000,top
"R17","12k","R_0603_1608Metric",124.650000,-58.075000,90.000000,top
"R18","12k","R_0603_1608Metric",126.270000,-58.085000,-90.000000,top
"R19","10k","R_0603_1608Metric",92.170000,-75.890000,0.000000,top
"R20","820Ω","R_0603_1608Metric",109.727500,-102.891250,0.000000,top
"R21","4.7kΩ","R_0603_1608Metric",114.680000,-103.010000,180.000000,top
"R22","47","R_0603_1608Metric",91.730000,-58.015000,90.000000,top
"R25","47","R_0603_1608Metric",93.030000,-37.080000,0.000000,top
"R26","100k","R_0603_1608Metric",89.102500,-47.560000,-90.000000,top
"R27","100k","R_0603_1608Metric",93.010000,-35.500000,180.000000,top
"R28","100k","R_0603_1608Metric",85.570000,-85.300000,0.000000,top
"R29","47","R_0603_1608Metric",88.610000,-85.280000,180.000000,top
"R30","47","R_0603_1608Metric",81.090000,-87.160000,180.000000,top
"R31","100k","R_0603_1608Metric",84.450000,-87.160000,0.000000,top
"U2","TPD4E05U06DQA","USON-10_2.5x1.0mm_P0.5mm",90.795000,-64.330000,0.000000,top
"U4","UA78M33QDCYRQ1","TO-252-2",95.475000,-99.435000,-90.000000,top
"U5","STM32C011F4Px","TSSOP-20_4.4x6.5mm_P0.65mm",90.280000,-80.567500,-90.000000,top
